# Rue du Glacis is a trap street. Maison means there's no street name.
# remove lieux dits that contain no real address, streets that are gone, and name:lb
#
# v-- remove for addresses
Maison
Chalet
Ferme
Haus
#
#
A Wëllems
Am Kalk
Am Pull
Am Weiher
An de Jenken
An der Gaarw
An der Ollek
Ancien Moulin Wirtgen
Arsdorf-Moulin
Auf Reuland
Auf der Kreuzheck
Auf der Mechelbach
B.P.
Bambësch
Batzendelt
Beim Fuhsbusch
Berelergrund
Berenthal
Bertrange-Gare
Bettange Moulin
Bigonville-Moulin
Bigonville-Poteau
Birel
Bohmillen
Bricherhaff
Briesenhof
Burgfried
Café Halte
Camping
Camping Résidentiel Sannert
Camping et Auberge Fuussekaul
Capellen gare
Centre Douanier Croix de Gasperich
Centre de l'Oseraie
Château
Château Weymerisch
Château de Wiltz
Cloche d'Or
Crispinusbierg
Dauschkaul
Deysermühle
Dippach Barrière
Dippach Gare
Dippach-Berg
Duderhaff
Déieregaart
Eecherfeld
Ehnerberreg
Eitermillen
Ellange Gare
Eschweiler Moulin
Everlange Moulin
Eydtmillen
Ferme Goudelt
Ferme Leidenbach
Ferme Martelinville
Ferme St Donat
Ferme Weydert
Ferme de Beaufort
Ferme de Findels
Ferme de Grevels
Ferme de Niedert
Fetschenbour
Fetschenhaff
Finsterhof
Follmillen
Forge
Fuhrels
Gantenbeensmillen
Geessekneppchen
Gellebuer
Goedange Moulin
Goeldt-Hostert
Grand Bevange
Grauenstein
Groussendraisch
Haangebierg
Hammerdelchen
Heffingen Moulin
Helfent
Helfenterbruck
Holzem moulin
Hëttermillen
Josefshof
Juegdschlass
Kaesfurt
Kalbacherhof
Kalchesbréck
Kalkfabrik
Keibierg
Kempemillen
Kierelshof
Kleck
Kleinhoscheid
Kleng Amerika
Kockeberreg
Kockelscheier
Koppesmillen
Kundel
Leesbach
Lehbusch
Leudelange Gare
Loeftgermuehle
Lopert
Luerenzscheierhaff
Maison de garde
Manertchen
Marienthalerhof
Melickshof
Misèrehof
Moalsbaach
Neuhof
Neuhäusgen Bas
Neuhäusgen Haut
Neumaxmühle
Niederwiltz
Nossbaam
Oligsmillen
Om Dierchen
Oseraie
Papeierbierg
Papiermühle
Parc Le'h
Peitrus
Petit Bevange
Pfaffenbrouch
Pont-Misere
Reckange-Barrière
Reisermillen
Riesenhof
Rippweiler Barrière
Rodenhof (Echternach)
Roudebierg
Rue du Fort Berlaimont
Rue du Glacis
Scheiwisschen
Schleiwenhaff
Schoettermarial
Schouweiler Halte
Schwaarzegronn
Sprinkange Ferme
Steinborn
Thillsmillen
Toutschenmühle
Toutschenmühle Barrière
Troisbaraques
Walebrouch
Walebur
Wandmillen
Wasserwerk
Weidenmühle
Weimershaff
Weissenhof
Wenkelgewan
Wiltzermühle
Wollefshaff
Woweg
Wuetelbierg
# Streets below don't exist or have completely different names
Place Émile Hamilius
Aasselscheierhaff
Square Robert Brasseur
Scheerleck
Colmar-Pont
Rue Bernard Clement
Eurohub Sud
Résidence Merelbach
Am Buurgbierg - Résidence Laurentides
Parc Logistique, Eurohub Sud
Beim ieweschte Bësch
Am Schwarzbongert
Freschwiss
Cité Pietert
Rue Alphonse Backes
Op der Foorzel
Camping Nicolas Brandenburger
Schüttbuerger Schlass
Knupp
Gaardegässel
Mueresgässel
Um Bruch
Kokebierg
Laaschteschwee
Résidence Albert
Niklosgaessel
Roost
Heiderscheidergrund
Zone Industrielle Riedgen
