TODO	Use id_caclr_rue if there are ambiguities
7430	Fischbach
9518	Wiltz
9648	Wiltz
9749	Clervaux
4374	Sanem
5420	Bous
5421	Bous
5422	Bous
8533	Schengen
5675	Beckerich
5692	Beckerich
5693	Beckerich
5695	Beckerich
6970	Niederanven
6971	Niederanven
6978	Niederanven
6985	Niederanven
6988	Niederanven
6989	Niederanven
6990	Niederanven
6996	Niederanven
6998	Niederanven
8537	Rambrouch
8546	Rambrouch
8805	Rambrouch
